,lat,lon
194,55.743036,37.564976
195,55.743036,37.564976
196,55.736244,37.517023
197,55.736244,37.517023
198,55.729817,37.472048
199,55.729817,37.472048
200,55.730669,37.44544
201,55.730669,37.44544
202,55.740738,37.416859
203,55.740738,37.416859
204,55.756728,37.408104
205,55.756728,37.408104
206,55.803741,37.402697
207,55.803741,37.402697
208,55.823593,37.385176
209,55.823593,37.385176
210,55.83553,37.382398
211,55.83553,37.382398
212,55.846145,37.361981
213,55.846145,37.361981
214,55.85651,37.3546
215,55.85651,37.3546
216,55.730666,37.446535
217,55.730666,37.446535
218,55.73599,37.46715
219,55.73599,37.46715
220,55.739518,37.483356
221,55.739518,37.483356
222,55.743731,37.497765
223,55.743731,37.497765
224,55.746004,37.514877
225,55.746004,37.514877
226,55.739965,37.534618
227,55.739965,37.534618
228,55.738881,37.548357
229,55.738881,37.548357
230,55.743779,37.566102
231,55.743779,37.566102
232,55.748987,37.582169
233,55.748987,37.582169
234,55.752121,37.601556
235,55.752121,37.601556
236,55.752081,37.609317
237,55.752081,37.609317
238,55.749144,37.543287
239,55.749144,37.543287
240,55.748568,37.53288
241,55.748568,37.53288
242,55.735211,37.592994
243,55.735211,37.592994
244,55.729255,37.611555
245,55.729255,37.611555
246,55.728995,37.622895
247,55.728995,37.622895
248,55.730934,37.635823
249,55.730934,37.635823
250,55.742372,37.653612
251,55.742372,37.653612
252,55.757338,37.65933
253,55.757338,37.65933
254,55.775976,37.656369
255,55.775976,37.656369
256,55.779647,37.633533
257,55.779647,37.633533
258,55.77949,37.601035
259,55.77949,37.601035
260,55.776235,37.58395
261,55.776235,37.58395
262,55.760317,37.576933
263,55.760317,37.576933
264,55.744467,37.567357
265,55.744467,37.567357
266,55.88701,37.66139
267,55.88701,37.66139
268,55.869821,37.664223
269,55.869821,37.664223
270,55.85513,37.652721
271,55.85513,37.652721
272,55.845446,37.638388
273,55.845446,37.638388
274,55.82067,37.640705
275,55.82067,37.640705
276,55.807808,37.638447
277,55.807808,37.638447
278,55.792479,37.635829
279,55.792479,37.635829
280,55.781798,37.633232
281,55.781798,37.633232
282,55.772569,37.632557
283,55.772569,37.632557
284,55.765489,37.636775
285,55.765489,37.636775
286,55.756076,37.631811
287,55.756076,37.631811
288,55.740765,37.625111
289,55.740765,37.625111
290,55.731309,37.612687
291,55.731309,37.612687
292,55.71879,37.608332
293,55.71879,37.608332
294,55.707627,37.586203
295,55.707627,37.586203
296,55.687746,37.573414
297,55.687746,37.573414
298,55.677875,37.562857
299,55.677875,37.562857
300,55.670228,37.554617
301,55.670228,37.554617
302,55.656527,37.53994
303,55.656527,37.53994
304,55.642579,37.526293
305,55.642579,37.526293
306,55.63352,37.519426
307,55.63352,37.519426
308,55.618837,37.507067
309,55.618837,37.507067
310,55.606233,37.53346
311,55.606233,37.53346
312,55.600869,37.555084
313,55.600869,37.555084
314,55.860574,37.436342
315,55.860574,37.436342
316,55.850216,37.439947
317,55.850216,37.439947
318,55.826889,37.437372
319,55.826889,37.437372
320,55.818089,37.43468
321,55.818089,37.43468
322,55.808468,37.464323
323,55.808468,37.464323
324,55.793465,37.49342
325,55.793465,37.49342
326,55.77745,37.519315
327,55.77745,37.519315
328,55.773532,37.54715
329,55.773532,37.54715
330,55.764696,37.561398
331,55.764696,37.561398
332,55.760667,37.581294
333,55.760667,37.581294
